@relation 'Bank-weka.filters.unsupervised.attribute.Remove-R2-5,7-16'

@attribute idade numeric
@attribute balanco numeric
@attribute deposito {yes,no}

@data
59,2343,yes
56,45,yes
41,1270,yes
55,2476,yes
54,184,yes
42,0,yes
56,830,yes
60,545,yes
37,1,yes
28,5090,yes
38,100,yes
30,309,yes
29,199,yes
46,460,yes
31,703,yes
35,3837,yes
32,611,yes
49,-8,yes
41,55,yes
49,168,yes
28,785,yes
43,2067,yes
43,388,yes
43,-192,yes
37,381,yes
35,40,yes
31,22,yes
43,3,yes
31,307,yes
28,759,yes
32,-1,yes
60,65,yes
26,82,yes
40,10,yes
33,390,yes
32,311,yes
35,414,yes
33,5,yes
38,119,yes
23,4,yes
60,1262,yes
48,1949,yes
45,-395,yes
36,1165,yes
52,2240,yes
35,300,yes
43,3285,yes
52,3923,yes
53,1443,yes
48,24,yes
41,1618,yes
39,517,yes
59,1521,yes
41,2823,yes
48,1405,yes
40,1535,yes
48,1596,yes
60,1542,yes
40,3652,yes
57,-1,yes
51,7180,yes
41,5291,yes
41,1384,yes
52,-191,yes
59,320,yes
44,146,yes
49,341,yes
40,-9,yes
41,-306,yes
44,4580,yes
60,313,yes
29,10576,yes
41,-233,yes
41,2453,yes
42,1364,yes
36,281,yes
39,94,yes
31,144,yes
26,246,yes
31,92,yes
29,163,yes
37,49,yes
33,-416,yes
24,409,yes
50,363,yes
27,3706,yes
54,4393,yes
30,863,yes
34,695,yes
37,792,yes
41,1020,yes
47,863,yes
31,97,yes
31,754,yes
43,1040,yes
37,122,yes
30,880,yes
41,501,yes
36,4438,yes
35,0,yes
29,271,yes
35,102,yes
31,2,yes
35,4170,yes
34,85,yes
31,431,yes
44,982,yes
36,408,yes
35,4822,yes
41,1250,yes
31,216,yes
34,1207,yes
32,791,yes
36,849,yes
30,239,yes
37,1211,yes
36,599,yes
31,825,yes
27,2183,yes
34,4499,yes
30,1289,yes
32,4665,yes
37,3326,yes
32,783,yes
33,0,yes
35,994,yes
35,1354,yes
30,239,yes
45,-311,yes
45,149,yes
33,1464,yes
44,5773,yes
40,278,yes
31,2910,yes
30,541,yes
44,1262,yes
34,-538,yes
37,125,yes
28,0,yes
32,620,yes
37,316,yes
34,2287,yes
38,198,yes
28,460,yes
31,1145,yes
59,-22,yes
24,685,yes
26,901,yes
59,351,yes
30,0,yes
37,274,yes
30,-213,yes
25,97,yes
44,51,yes
29,314,yes
26,6840,yes
26,668,yes
27,54,yes
25,1242,yes
28,292,yes
23,665,yes
34,1058,yes
28,949,yes
51,606,yes
35,0,yes
35,404,yes
56,249,yes
45,3354,yes
60,0,yes
56,589,yes
27,12956,yes
30,873,yes
45,594,yes
29,-20,yes
38,4692,yes
30,486,yes
44,1593,yes
36,7606,yes
38,226,yes
36,366,yes
37,16,yes
35,565,yes
38,19,yes
40,1082,yes
42,1713,yes
46,14481,yes
35,5724,yes
34,1451,yes
32,-34,yes
50,3674,yes
35,698,yes
36,4136,yes
53,2656,yes
46,2904,yes
26,1004,yes
45,410,yes
31,0,yes
29,0,yes
53,62,yes
27,416,yes
39,2763,yes
36,2984,yes
41,143,yes
36,0,yes
32,696,yes
35,152,yes
36,-78,yes
35,867,yes
30,953,yes
